Week,Time period,Survey
1,"April 23, 2020 - May 5, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp1.html
2,"May 7, 2020 - May 12, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp2.html
3,"May 14, 2020 - May 19, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp3.html
4,"May 21, 2020 - May 26, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp4.html
5,"May 28, 2020 - June 2, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp5.html
6,"June 4, 2020 - June 9, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp6.html
7,"June 11, 2020 - June 16, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp7.html
8,"June 18, 2020 - June 23, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp8.html
9,"June 25, 2020 - June 30, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp9.html
10,"July 2, 2020 - July 7, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp10.html
11,"July 9, 2020 - July 14, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp11.html
12,"July 16, 2020 - July 21, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp12.html
13,"August 19, 2020 - August 31, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp13.html
14,"September 2, 2020 - September 14, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp14.html
15,"September 16, 2020 - September 28, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp15.html
16,"September 30, 2020 - October 12, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp16.html
17,"October 14, 2020 - October 26, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp17.html
18,"October 28, 2020 - November 9, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp18.html
19,"November 11, 2020 - November 23, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp19.html
20,"November 25, 2020 - December 7, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp20.html
21,"December 9, 2020 - December 21, 2020",https://www.census.gov/data/tables/2020/demo/hhp/hhp21.html
22,"January 6, 2021 - January 18, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp22.html
23,"January 20, 2021 - February 1, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp23.html
24,"February 3, 2021 - February 15, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp24.html
25,"February 17, 2021 - March 1, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp25.html
26,"March 3, 2021 - March 15, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp26.html
27,"March 17, 2021 - March 29, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp27.html
28,"April 14, 2021 - April 26, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp28.html
29,"April 28, 2021 - May 10, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp29.html
30,"May 12, 2021 - May 24, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp30.html
31,"May 26, 2021 - June 7, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp31.html
32,"June 9, 2021 - June 21, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp32.html
33,"June 23, 2021 - July 5, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp33.html
34,"July 21, 2021 - August 2, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp34.html
35,"August 4, 2021 - August 16, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp35.html
36,"August 18, 2021 - August 30, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp36.html
37,"September 1, 2021 - September 13, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp37.html
38,"September 15, 2021 - September 27, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp38.html
39,"September 29, 2021 - October 11, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp39.html
40,"December 1, 2021 - December 13, 2021",https://www.census.gov/data/tables/2021/demo/hhp/hhp40.html
41,"December 29, 2021 - January 10, 2022",https://www.census.gov/data/tables/2021/demo/hhp/hhp41.html
42,"January 26, 2022 - February 7, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp42.html
43,"March 2, 2022 - March 14, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp43.html
44,"March 30, 2022 - April 11, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp44.html
45,"April 27, 2022 - May 9, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp45.html
46,"June 1, 2022 - June 13, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp46.html
47,"June 29, 2022 - July 11, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp47.html
48,"July 27, 2022 - August 8, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp48.html
49,"September 14, 2022 - September 26, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp49.html
50,"October 5, 2022 - October 17, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp50.html
51,"November 2, 2022 - November 14, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp51.html
52,"December 9, 2022 - December 19, 2022",https://www.census.gov/data/tables/2022/demo/hhp/hhp52.html
53,"January 4, 2023 - January 16, 2023",https://www.census.gov/data/tables/2022/demo/hhp/hhp53.html
54,"February 1, 2023 - February 13, 2023",https://www.census.gov/data/tables/2022/demo/hhp/hhp54.html
55,"March 1, 2023 - March 13, 2023",https://www.census.gov/data/tables/2022/demo/hhp/hhp55.html
